FilmID,Title,RunTimeMinutes,Genre
175,Indiana Jones and the Temple of Doom,118,Adventure
176,Blade Runner,116,Science Fiction
177,Die Hard,132,Action
178,For Your Eyes Only,127,Thriller
179,Octopussy,131,Thriller
180,Star Trek VI: The Undiscovered Country,113,Science Fiction
181,The Running Man,101,Science Fiction
182,Open Range,139,Western
183,Kindergarten Cop,111,Comedy
184,"O Brother, Where Art Thou?",107,Comedy
185,Goodfellas,146,Crime
186,The Passion of the Christ,126,Drama
187,The Untouchables,119,Crime
188,Schindler's List,197,History
189,Anchorman: The Legend of Ron Burgundy,95,Comedy
190,Scarface,170,Crime
191,Star Trek IV: The Voyage Home,122,Science Fiction
192,King Kong,134,Adventure
193,Star Wars: Episode V - The Empire Strikes Back,124,Science Fiction
194,Gandhi,188,Biography
195,Equilibrium,107,Science Fiction
196,From Dusk Till Dawn,108,Horror
197,Raiders of the Lost Ark,115,Adventure
199,Back to the Future,116,Science Fiction
200,Dances with Wolves,180,Western
201,Star Trek III: The Search For Spock,105,Science Fiction
202,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84,Comedy
203,Raging Bull,129,Sport
204,Aliens,137,Science Fiction
205,Hero,99,Martial Arts
206,Hot Fuzz,121,Comedy
207,Leon,110,Thriller
208,High Plains Drifter,105,Western
209,Collateral,120,Thriller
210,American Beauty,122,Drama
211,Lethal Weapon,110,Action
212,Lethal Weapon 2,114,Action
213,"Crouching Tiger, Hidden Dragon",120,Martial Arts
214,Brokeback Mountain,134,Drama
215,Hulk,138,Action
216,Sense and Sensibility,136,Romance
217,Ride with the Devil,138,Western
218,Twins,105,Comedy
219,28 Days Later,113,Horror
220,The Beach,115,Drama
221,Trainspotting,93,Drama
222,The Spy Who Loved Me,125,Thriller
223,Downfall,155,War
224,Letters from Iwo Jima,141,War
225,Star Trek II: The Wrath of Khan,113,Science Fiction
226,House of Flying Daggers,119,Martial Arts
227,Das Boot,149,War
228,Casino Royale,131,Thriller
229,Star Wars: Episode IV: A New Hope,121,Science Fiction
230,E.T.: The Extra-Terrestrial,115,Science Fiction
231,Amelie,123,Comedy
232,You Only Live Twice,117,Thriller
233,Thunderball,130,Thriller
234,Alien,117,Science Fiction
236,On Her Majesty's Secret Service,140,Thriller
237,Pulp Fiction,154,Crime
238,Rumble in the Bronx,106,Martial Arts
239,Diamonds are Forever,120,Thriller
240,Fargo,98,Crime
241,Live and Let Die,121,Thriller
242,The Man with the Golden Gun,125,Thriller
243,"Good Night, and Good Luck",93,Drama
244,Pale Rider,116,Western
245,The Terminator,108,Science Fiction
246,Around the World in 80 Days,183,Adventure
249,The Usual Suspects,106,Crime
250,Memento,113,Thriller
251,Shaun of the Dead,99,Comedy
252,Four Weddings and a Funeral,117,Romance
253,Night Watch,114,Fantasy
254,Goldfinger,110,Thriller
255,The Lives of Others,137,Drama
256,From Russia with Love,115,Thriller
257,Reservoir Dogs,99,Crime
258,Dr. No,109,Thriller
259,King Kong,100,Adventure
260,Seven Samurai,207,Action
261,Super Size Me,98,Documentary
262,Kagemusha,180,Drama
263,Ran,162,Drama
264,Sunshine,107,Science Fiction
265,Once Were Warriors,102,Drama
266,Flushed Away,85,Animation
267,Indiana Jones and the Kingdom of the Crystal Skull,122,Adventure
270,Transformers: Age of Extinction,165,Science Fiction
271,The Hobbit: The Battle of the Five Armies,174,Fantasy
272,Guardians of the Galaxy,122,Science Fiction
273,Maleficent,98,Fantasy
274,X-Men: Days of Future Past,131,Action
275,Captain America: The Winter Soldier,136,Action
276,The Hunger Games: Mockingjay Part 1,123,Adventure
277,The Amazing Spider-Man 2,141,Action
278,Dawn of the Planet of the Apes,130,Action
279,Interstellar,169,Science Fiction
280,Frozen,102,Animation
281,Iron Man 3,130,Action
282,Despicable Me 2,98,Animation
283,The Hobbit: The Desolation of Smaug,161,Fantasy
284,The Hunger Games: Catching Fire,146,Adventure
285,Fast & Furious 6,130,Action
286,Monsters University,104,Animation
287,Gravity,91,Science Fiction
288,Man of Steel,143,Action
289,Thor: The Dark World,112,Action
290,The Avengers,143,Action
291,Skyfall,143,Thriller
292,The Dark Knight Rises,165,Action
293,The Hobbit: An Unexpected Journey,169,Fantasy
